Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21, C23, C25, C27, C30, C31, C33, C34, C35, C4, C54, C56, C57, C58, C59, C60, C61, C62, C63, C7",0603,22,10u,C96446
"C10, C11, C16, C17, C18, C19, C22, C24, C26, C28, C29, C32, C36, C39, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C64, C65, C66, C67, C68, C69, C9",0603,31,100n,C14663
"C12, C13, C14, C15",2220,4,1u,
"C20, C3, C5, C6",0603,4,100p,C14858
"C37, C38, C40, C41, C44",0603,5,10n,C57112
"C42, C43",0603,2,47p,C1671
"C70, C71, C72, C73, C74, C75",0603,6,1n,C1588
C8,0603,1,100n,
"D1, D2",D_SOD-123,2,1N4148W,
"D3, D4, D6, D7, D8",SOT-23,5,BAV99,C2500
D5,D_SOD-323,1,1N5819WS,C191023
HS1,AMD_heatsink,1,Heatsink,
J1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,BNC,
J10,PinHeader_1x04_P2.54mm_Vertical,1,DC fan connector,
J2,4mm_terminal_red,1,red_terminal,
J3,4mm_terminal_red,1,red terminal,
"J4, J5",4mm_terminal_black,2,black terminal,
J6,62910416121,1,USB_B,
J8,PinSocket_1x05_P2.54mm_Vertical,1,FT232 programming port,
J9,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"JP2, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,
L4,L_Bourns_SRN6045TA,1,4.7u,
"Q1, Q10, Q12, Q2, Q8",SOT-23,5,MMBT5401,C8326
"Q11, Q14, Q7, Q9",SOT-23,4,MMBT5551L,C2145
Q13,SOT-23,1,AO3400A,C20917
"Q3, Q4, Q5, Q6",TO-220-3_Horizontal_TabUp,4,FQP19N20C,
"R1, R10, R13, R16, R19, R21, R24, R26, R28, R36, R37, R39, R4, R41, R43, R45, R5, R51, R53, R54, R55, R56, R58, R63, R64, R65, R67, R68, R72, R74, R75, R76, R77, R78, R8",0603,35,10k,C25804
"R11, R18, R69, R73",0603,4,3k3,C22978
"R12, R17, R2, R20, R22, R23, R25, R27, R31, R34, R35, R50, R52, R59, R6, R60, R61, R62, R7, R70, R71",0603,21,100,C22775
"R14, R15, R3, R9",2512,4,50 mOhm,
"R29, R32",0603,2,1Meg,C22935
"R30, R33, R57, R66",0603,4,49.9k,C23184
"R38, R40, R42, R44, R46, R47",0603,6,100k,C25803
"R48, R49",0603,2,22,C23345
"SW1, SW2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
"SW3, SW8",SW_TH_Tactile_Omron_B3F-10xx,2,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,9,TestPoint,
"U1, U10, U11, U12",SOT-363_SC-70-6_Handsoldering,4,FSA3157P6X,
"U13, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,3,TLV9062,
U14,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U15,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14D653,C5605
U16,SOIC-8_3.9x4.9mm_P1.27mm,1,93LCxxB,
U17,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U18,SOT-23,1,TL431DBZ,C3113
"U19, U20, U21, U22",SOT-23-6,4,INA181,
U2,WC1602A - below,1,Screen,
U7,TO-92_Inline_W4.0mm_Horizontal_FlatSideUp,1,LMT84LPM,
U8,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
